"code","unit","city","state","network_label","dvr_ip","dvr_name","wireguard_file","l2tp_file","ready_to_apply","pending_fields"
"01","Guilhermina","Praia Grande","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\001-guilhermina.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\001-guilhermina.rsc","False","LAN_CIDR, DVR_IP"
"04","Diadema","Diadema","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\004-diadema.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\004-diadema.rsc","False","LAN_CIDR, DVR_IP"
"05","Shopping Maua","Maua","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\005-shopping-maua.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\005-shopping-maua.rsc","False","LAN_CIDR, DVR_IP"
"06","RibeirÃ£o","Ribeirao Pires","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\006-ribeira-o.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\006-ribeira-o.rsc","False","LAN_CIDR, DVR_IP"
"07","Homero thon","Santo Andre","SP","10.0.7.0/24","10.0.7.251","HTHONDVRHIK1","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\007-homero-thon.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\007-homero-thon.rsc","True",""
"08","Portugal","Maua","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\008-portugal.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\008-portugal.rsc","False","LAN_CIDR, DVR_IP"
"09","Valo Velho","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\009-valo-velho.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\009-valo-velho.rsc","False","LAN_CIDR, DVR_IP"
"10","Itamarati","Santo Andre","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\010-itamarati.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\010-itamarati.rsc","False","LAN_CIDR, DVR_IP"
"11","Rio Branco","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\011-rio-branco.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\011-rio-branco.rsc","False","LAN_CIDR, DVR_IP"
"12","Pereira Barreto","Santo Andre","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\012-pereira-barreto.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\012-pereira-barreto.rsc","False","LAN_CIDR, DVR_IP"
"13","Giovani Breda","Sao Bernardo do Campo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\013-giovani-breda.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\013-giovani-breda.rsc","False","LAN_CIDR, DVR_IP"
"14","BoqueirÃ£o","Praia Grande","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\014-boqueira-o.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\014-boqueira-o.rsc","False","LAN_CIDR, DVR_IP"
"15","Parque do Carmo","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\015-parque-do-carmo.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\015-parque-do-carmo.rsc","False","LAN_CIDR, DVR_IP"
"16","ZaÃ­ra","Maua","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\016-zaa-ra.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\016-zaa-ra.rsc","False","LAN_CIDR, DVR_IP"
"17","HeliÃ³polis","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\017-helia-polis.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\017-helia-polis.rsc","False","LAN_CIDR, DVR_IP"
"19","Pimentas","Guarulhos","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\019-pimentas.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\019-pimentas.rsc","False","LAN_CIDR, DVR_IP"
"20","Guaianases","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\020-guaianases.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\020-guaianases.rsc","False","LAN_CIDR, DVR_IP"
"21","Av Goias","Sao Caetano do Sul","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\021-av-goias.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\021-av-goias.rsc","False","LAN_CIDR, DVR_IP"
"22","Bom Clima","Guarulhos","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\022-bom-clima.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\022-bom-clima.rsc","False","LAN_CIDR, DVR_IP"
"24","Jaguare","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\024-jaguare.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\024-jaguare.rsc","False","LAN_CIDR, DVR_IP"
"25","Itaquera Tennessee","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\025-itaquera-tennessee.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\025-itaquera-tennessee.rsc","False","LAN_CIDR, DVR_IP"
"26","Extrema","Extrema","MG",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\026-extrema.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\026-extrema.rsc","False","LAN_CIDR, DVR_IP"
"27","Mogi das Cruzes","Mogi das Cruzes","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\027-mogi-das-cruzes.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\027-mogi-das-cruzes.rsc","False","LAN_CIDR, DVR_IP"
"28","Alameda","Sao Caetano do Sul","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\028-alameda.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\028-alameda.rsc","False","LAN_CIDR, DVR_IP"
"29","Jardim Goias","Goiania","GO",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\029-jardim-goias.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\029-jardim-goias.rsc","False","LAN_CIDR, DVR_IP"
"30","Passeio das Aguas","Goiania","GO",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\030-passeio-das-aguas.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\030-passeio-das-aguas.rsc","False","LAN_CIDR, DVR_IP"
"31","SÃ£o Vicente","Sao Vicente","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\031-sa-o-vicente.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\031-sa-o-vicente.rsc","False","LAN_CIDR, DVR_IP"
"32","CamilÃ³polis","Santo Andre","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\032-camila-polis.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\032-camila-polis.rsc","False","LAN_CIDR, DVR_IP"
"33","Indaiatuba","Indaiatuba","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\033-indaiatuba.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\033-indaiatuba.rsc","False","LAN_CIDR, DVR_IP"
"34","Vila Prudente","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\034-vila-prudente.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\034-vila-prudente.rsc","False","LAN_CIDR, DVR_IP"
"35","Laranjal Paulista","Laranjal Paulista","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\035-laranjal-paulista.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\035-laranjal-paulista.rsc","False","LAN_CIDR, DVR_IP"
"36","SacomÃ£","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\036-sacoma.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\036-sacoma.rsc","False","LAN_CIDR, DVR_IP"
"37","Vila Nova","Goiania","GO",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\037-vila-nova.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\037-vila-nova.rsc","False","LAN_CIDR, DVR_IP"
"38","Sapopemba","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\038-sapopemba.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\038-sapopemba.rsc","False","LAN_CIDR, DVR_IP"
"39","Poa","Poa","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\039-poa.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\039-poa.rsc","False","LAN_CIDR, DVR_IP"
"40","Curitiba","Curitiba","PR",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\040-curitiba.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\040-curitiba.rsc","False","LAN_CIDR, DVR_IP"
"41","Franca","Franca","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\041-franca.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\041-franca.rsc","False","LAN_CIDR, DVR_IP"
"42","Itaquera Americano","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\042-itaquera-americano.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\042-itaquera-americano.rsc","False","LAN_CIDR, DVR_IP"
"43","Centro Alto","Ribeirao Pires","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\043-centro-alto.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\043-centro-alto.rsc","False","LAN_CIDR, DVR_IP"
"44","Paraisopolis","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\044-paraisopolis.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\044-paraisopolis.rsc","False","LAN_CIDR, DVR_IP"
"45","Guapituba","Maua","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\045-guapituba.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\045-guapituba.rsc","False","LAN_CIDR, DVR_IP"
"46","Rui Barbosa","Campo Grande","MS",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\046-rui-barbosa.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\046-rui-barbosa.rsc","False","LAN_CIDR, DVR_IP"
"47","Ipiranga Silva Bueno","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\047-ipiranga-silva-bueno.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\047-ipiranga-silva-bueno.rsc","False","LAN_CIDR, DVR_IP"
"48","Vila Luzita","Santo Andre","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\048-vila-luzita.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\048-vila-luzita.rsc","False","LAN_CIDR, DVR_IP"
"49","Ipiranga Clube","Sao Paulo","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\049-ipiranga-clube.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\049-ipiranga-clube.rsc","False","LAN_CIDR, DVR_IP"
"50","Tres Barras","Campo Grande","MS",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\050-tres-barras.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\050-tres-barras.rsc","False","LAN_CIDR, DVR_IP"
"130","Jardim SÃ£o Paulo","Goiania","GO",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\130-jardim-sa-o-paulo.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\130-jardim-sa-o-paulo.rsc","False","LAN_CIDR, DVR_IP"
"131","CarapicuÃ­ba","Carapicuiba","SP",,,,"C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\wireguard\131-carapicua-ba.rsc","C:\Users\Admin\X\SPYGYM\deploy\mikrotik-sites\l2tp-ipsec\131-carapicua-ba.rsc","False","LAN_CIDR, DVR_IP"
